Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Australian Open,Hard,20240115,Arthur Cazaux,Holger Rune,7-6(4) 6-4 4-6 6-3,R64,Hard,H
Australian Open,Hard,20240115,Tallon Griekspoor,Arthur Fils,3-6 6-1 7-5 6-4,R64,Hard,H
Australian Open,Hard,20240115,Ugo Humbert,Zhizhen Zhang,6-2 5-7 6-1 7-6(3),R64,Hard,H
Australian Open,Hard,20240115,Hubert Hurkacz,Jakub Mensik,6-7(9) 6-1 5-7 6-1 6-3,R64,Hard,H
Australian Open,Hard,20240115,Grigor Dimitrov,Thanasi Kokkinakis,6-3 6-2 4-6 6-4,R64,Hard,H
Australian Open,Hard,20240115,Nuno Borges,Alejandro Davidovich Fokina,7-6(7) 6-3 6-3,R64,Hard,H
Australian Open,Hard,20240115,Felix Auger Aliassime,Hugo Grenier,6-1 3-6 6-1 6-2,R64,Hard,H
Australian Open,Hard,20240115,Daniil Medvedev,Emil Ruusuvuori,3-6 6-7(1) 6-4 7-6(1) 6-0,R64,Hard,H
Australian Open,Hard,20240115,Alexander Zverev,Lukas Klein,7-5 3-6 4-6 7-6(5) 7-6(7),R64,Hard,H
Australian Open,Hard,20240115,Alex Michelsen,Jiri Lehecka,4-6 6-3 6-4 6-4,R64,Hard,H
Australian Open,Hard,20240115,Cameron Norrie,Giulio Zeppieri,3-6 6-7(4) 6-2 6-4 6-4,R64,Hard,H
Australian Open,Hard,20240115,Casper Ruud,Max Purcell,6-3 6-7(5) 6-3 3-6 7-6(7),R64,Hard,H
Australian Open,Hard,20240115,Tommy Paul,Jack Draper,6-2 3-6 6-3 7-5,R64,Hard,H
Australian Open,Hard,20240115,Miomir Kecmanovic,Jan Lennard Struff,6-4 1-6 7-6(5) 1-6 7-6(9),R64,Hard,H
Australian Open,Hard,20240115,Juncheng Shang,Sumit Nagal,2-6 6-3 7-5 6-4,R64,Hard,H
Australian Open,Hard,20240115,Carlos Alcaraz,Lorenzo Sonego,6-4 6-7(3) 6-3 7-6(3),R64,Hard,H
Australian Open,Hard,20240115,Novak Djokovic,Tomas Martin Etcheverry,6-3 6-3 7-6(2),R32,Hard,H
Australian Open,Hard,20240115,Adrian Mannarino,Ben Shelton,7-6(4) 1-6 6-7(2) 6-3 6-4,R32,Hard,H
Australian Open,Hard,20240115,Taylor Fritz,Fabian Marozsan,3-6 6-4 6-2 6-2,R32,Hard,H
Australian Open,Hard,20240115,Stefanos Tsitsipas,Luca Van Assche,6-3 6-0 6-4,R32,Hard,H
Australian Open,Hard,20240115,Jannik Sinner,Sebastian Baez,6-0 6-1 6-3,R32,Hard,H
Australian Open,Hard,20240115,Karen Khachanov,Tomas Machac,6-4 7-6(4) 4-6 7-6(5),R32,Hard,H
Australian Open,Hard,20240115,Alex De Minaur,Flavio Cobolli,6-3 6-3 6-1,R32,Hard,H
Australian Open,Hard,20240115,Andrey Rublev,Sebastian Korda,6-2 7-6(6) 6-4,R32,Hard,H
Australian Open,Hard,20240115,Arthur Cazaux,Tallon Griekspoor,6-3 6-3 6-1,R32,Hard,H
Australian Open,Hard,20240115,Hubert Hurkacz,Ugo Humbert,3-6 6-1 7-6(4) 6-3,R32,Hard,H
Australian Open,Hard,20240115,Nuno Borges,Grigor Dimitrov,6-7(3) 6-4 6-2 7-6(6),R32,Hard,H
Australian Open,Hard,20240115,Daniil Medvedev,Felix Auger Aliassime,6-3 6-4 6-3,R32,Hard,H
Australian Open,Hard,20240115,Alexander Zverev,Alex Michelsen,6-2 7-6(4) 6-2,R32,Hard,H
