Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,STL,BOS,2,3,A,0,0,D
2024-01-01,EDM,NYI,4,3,H,0,0,D
2024-01-01,VAN,CGY,3,1,H,0,1,A
2024-01-01,SEA,CBJ,5,2,H,0,2,A
2024-01-01,PIT,DET,2,3,A,0,0,D
2024-01-01,WSH,TOR,3,4,A,2,1,H
2024-01-01,UTA,CAR,4,1,H,1,0,H
2024-01-01,COL,LAK,4,2,H,1,2,A
2024-01-01,ANA,VGK,2,3,A,1,1,D
2024-01-01,BUF,STL,4,3,H,2,1,H
2024-01-01,OTT,PHI,4,5,A,1,1,D
2024-01-01,TBL,WPG,4,1,H,1,0,H
2024-01-01,FLA,NJD,2,6,A,1,2,A
2024-01-01,NYR,SJS,3,2,H,0,1,A
2024-01-01,DAL,BOS,6,2,H,1,1,D
2024-01-01,MIN,MTL,3,0,H,0,0,D
2024-01-01,EDM,NSH,3,2,H,0,1,A
2024-01-01,VAN,NYI,2,5,A,1,1,D
2024-01-01,SEA,CHI,3,1,H,0,0,D
2024-01-01,CBJ,PIT,6,2,H,2,1,H
2024-01-01,COL,WSH,2,5,A,1,2,A
2024-01-01,CGY,NSH,2,0,H,0,0,D
2024-01-01,UTA,VGK,2,4,A,1,0,H
2024-01-01,ANA,DET,6,4,H,1,2,A
2024-01-01,BOS,STL,2,3,A,2,1,H
2024-01-01,SEA,NYI,3,2,H,1,1,D
2024-01-01,TOR,EDM,4,3,H,1,1,D
2024-01-01,MTL,CBJ,5,1,H,1,0,H
2024-01-01,TBL,NJD,4,0,H,1,0,H
2024-01-01,FLA,WPG,5,0,H,1,0,H
2024-01-01,PHI,BUF,5,2,H,2,0,H
2024-01-01,PIT,SJS,3,3,D,2,0,H
2024-01-01,CAR,OTT,4,0,H,1,0,H
2024-01-01,MIN,DAL,1,2,A,0,1,A
2024-01-01,LAK,DET,4,1,H,2,0,H
2024-01-01,VAN,CHI,4,1,H,0,1,A
2024-01-01,CAR,STL,4,1,H,1,1,D
2024-01-01,VAN,NSH,3,5,A,1,1,D
2024-01-01,VGK,WSH,2,5,A,1,2,A
2024-01-01,SEA,NYR,0,2,A,0,0,D
2024-01-01,BOS,CBJ,1,5,A,0,3,A
2024-01-01,PHI,COL,2,3,A,0,0,D
2024-01-01,MTL,EDM,3,0,H,0,0,D
2024-01-01,DAL,ANA,2,4,A,0,2,A
2024-01-01,UTA,WSH,2,6,A,1,3,A
2024-01-01,SJS,DET,5,4,H,1,2,A
2024-01-01,OTT,EDM,2,5,A,1,3,A
2024-01-01,PIT,TBL,2,3,A,1,0,H
2024-01-01,STL,MIN,2,4,A,0,1,A
2024-01-01,WPG,FLA,6,3,H,2,0,H
2024-01-01,CHI,ANA,2,3,A,1,1,D
2024-01-01,CGY,NYI,1,1,D,0,0,D
2024-01-01,VAN,NYR,3,4,A,2,2,D
2024-01-01,TOR,VGK,3,0,H,1,0,H
