Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
13/04/2025 17:40,Miami Marlins,Washington Nationals,11,4,H
13/04/2025 18:10,Houston Astros,Los Angeles Angels,7,3,H
13/04/2025 18:10,Minnesota Twins,Detroit Tigers,5,1,H
13/04/2025 18:10,Chicago White Sox,Boston Red Sox,1,3,A
13/04/2025 18:15,St. Louis Cardinals,Philadelphia Phillies,7,0,H
13/04/2025 20:05,Athletics,New York Mets,0,8,A
13/04/2025 20:10,San Diego Padres,Colorado Rockies,6,0,H
13/04/2025 20:10,Seattle Mariners,Texas Rangers,3,1,H
13/04/2025 20:10,Arizona Diamondbacks,Milwaukee Brewers,5,2,H
13/04/2025 23:10,Los Angeles Dodgers,Chicago Cubs,2,4,A
14/04/2025 22:40,Pittsburgh Pirates,Washington Nationals,10,3,H
14/04/2025 22:45,Philadelphia Phillies,San Francisco Giants,4,10,A
14/04/2025 23:05,Tampa Bay Rays,Boston Red Sox,16,1,H
14/04/2025 23:05,New York Yankees,Kansas City Royals,4,1,H
14/04/2025 23:07,Toronto Blue Jays,Atlanta Braves,4,8,A
14/04/2025 23:40,Minnesota Twins,New York Mets,1,5,A
14/04/2025 23:40,Milwaukee Brewers,Detroit Tigers,1,9,A
14/04/2025 23:45,St. Louis Cardinals,Houston Astros,8,3,H
15/04/2025 01:40,San Diego Padres,Chicago Cubs,10,4,H
15/04/2025 02:10,Los Angeles Dodgers,Colorado Rockies,5,3,H
15/04/2025 22:40,Pittsburgh Pirates,Washington Nationals,0,3,A
15/04/2025 22:40,Cincinnati Reds,Seattle Mariners,8,4,H
15/04/2025 22:40,Miami Marlins,Arizona Diamondbacks,4,10,A
15/04/2025 22:45,Philadelphia Phillies,San Francisco Giants,6,4,H
15/04/2025 23:05,Baltimore Orioles,Cleveland Guardians,3,6,A
15/04/2025 23:05,Tampa Bay Rays,Boston Red Sox,4,7,A
15/04/2025 23:05,New York Yankees,Kansas City Royals,4,2,H
15/04/2025 23:07,Toronto Blue Jays,Atlanta Braves,6,3,H
15/04/2025 23:40,Minnesota Twins,New York Mets,6,3,H
15/04/2025 23:40,Chicago White Sox,Athletics,3,12,A
15/04/2025 23:40,Milwaukee Brewers,Detroit Tigers,5,0,H
15/04/2025 23:45,St. Louis Cardinals,Houston Astros,0,2,A
16/04/2025 00:05,Texas Rangers,Los Angeles Angels,4,0,H
16/04/2025 01:40,San Diego Padres,Chicago Cubs,1,2,A
16/04/2025 02:10,Los Angeles Dodgers,Colorado Rockies,6,2,H
16/04/2025 17:07,Toronto Blue Jays,Atlanta Braves,3,1,H
16/04/2025 17:10,Minnesota Twins,New York Mets,4,3,H
16/04/2025 17:10,Milwaukee Brewers,Detroit Tigers,5,1,H
16/04/2025 17:15,St. Louis Cardinals,Houston Astros,4,1,H
16/04/2025 20:10,San Diego Padres,Chicago Cubs,4,2,H
16/04/2025 22:35,Baltimore Orioles,Cleveland Guardians,9,1,H
16/04/2025 22:40,Pittsburgh Pirates,Washington Nationals,6,1,H
16/04/2025 22:40,Cincinnati Reds,Seattle Mariners,3,5,A
16/04/2025 22:40,Miami Marlins,Arizona Diamondbacks,2,6,A
16/04/2025 22:45,Philadelphia Phillies,San Francisco Giants,4,11,A
16/04/2025 23:05,Tampa Bay Rays,Boston Red Sox,0,1,A
16/04/2025 23:05,New York Yankees,Kansas City Royals,4,3,H
16/04/2025 23:40,Chicago White Sox,Athletics,1,3,A
17/04/2025 00:05,Texas Rangers,Los Angeles Angels,3,1,H
17/04/2025 02:10,Los Angeles Dodgers,Colorado Rockies,8,7,H
17/04/2025 16:10,Miami Marlins,Arizona Diamondbacks,4,6,A
17/04/2025 16:35,Pittsburgh Pirates,Washington Nationals,1,0,H
17/04/2025 16:40,Cincinnati Reds,Seattle Mariners,7,11,A
17/04/2025 18:10,Chicago White Sox,Athletics,0,8,A
17/04/2025 20:05,Philadelphia Phillies,San Francisco Giants,6,4,H
17/04/2025 22:35,Baltimore Orioles,Cleveland Guardians,6,2,H
17/04/2025 22:40,Detroit Tigers,Kansas City Royals,6,1,H
17/04/2025 23:05,Tampa Bay Rays,New York Yankees,3,6,A
17/04/2025 23:10,New York Mets,St. Louis Cardinals,4,1,H
18/04/2025 00:05,Texas Rangers,Los Angeles Angels,5,3,H
18/04/2025 18:20,Chicago Cubs,Arizona Diamondbacks,13,11,H
18/04/2025 22:40,Detroit Tigers,Kansas City Royals,7,3,H
18/04/2025 22:40,Pittsburgh Pirates,Cleveland Guardians,7,10,A
18/04/2025 22:45,Philadelphia Phillies,Miami Marlins,7,2,H
18/04/2025 23:05,Baltimore Orioles,Cincinnati Reds,3,8,A
18/04/2025 23:05,Tampa Bay Rays,New York Yankees,0,1,A
18/04/2025 23:07,Toronto Blue Jays,Seattle Mariners,3,1,H
18/04/2025 23:10,New York Mets,St. Louis Cardinals,5,4,H
18/04/2025 23:10,Boston Red Sox,Chicago White Sox,10,3,H
18/04/2025 23:15,Atlanta Braves,Minnesota Twins,6,4,H
19/04/2025 00:05,Texas Rangers,Los Angeles Dodgers,0,3,A
19/04/2025 00:10,Houston Astros,San Diego Padres,6,4,H
19/04/2025 00:10,Milwaukee Brewers,Athletics,5,3,H
19/04/2025 01:38,Los Angeles Angels,San Francisco Giants,2,0,H
19/04/2025 17:05,Philadelphia Phillies,Miami Marlins,11,10,H
19/04/2025 17:10,Detroit Tigers,Kansas City Royals,3,1,H
19/04/2025 18:20,Chicago Cubs,Arizona Diamondbacks,6,2,H
19/04/2025 19:07,Toronto Blue Jays,Seattle Mariners,4,8,A
19/04/2025 20:05,Baltimore Orioles,Cincinnati Reds,9,5,H
19/04/2025 20:05,Pittsburgh Pirates,Cleveland Guardians,0,3,A
19/04/2025 20:05,New York Mets,St. Louis Cardinals,3,0,H
19/04/2025 20:05,Texas Rangers,Los Angeles Dodgers,4,3,H
19/04/2025 20:10,Colorado Rockies,Washington Nationals,11,12,A
19/04/2025 20:10,Boston Red Sox,Chicago White Sox,4,3,H
19/04/2025 20:10,Tampa Bay Rays,New York Yankees,10,8,H
19/04/2025 23:10,Houston Astros,San Diego Padres,3,2,H
19/04/2025 23:10,Milwaukee Brewers,Athletics,1,3,A
19/04/2025 23:15,Atlanta Braves,Minnesota Twins,4,3,H
20/04/2025 01:38,Los Angeles Angels,San Francisco Giants,2,3,A
20/04/2025 17:35,Baltimore Orioles,Cincinnati Reds,2,24,A
20/04/2025 17:35,Pittsburgh Pirates,Cleveland Guardians,4,5,A
20/04/2025 17:35,Atlanta Braves,Minnesota Twins,6,2,H
20/04/2025 17:35,Boston Red Sox,Chicago White Sox,4,8,A
20/04/2025 17:35,Philadelphia Phillies,Miami Marlins,5,7,A
