Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,West Virginia,Iowa State,16,28,A
2024,UCLA,Minnesota,17,21,A
2024,Colorado,Kansas State,28,31,A
2024,Hawaii,Boise State,7,28,A
2024,South Alabama,Troy,25,9,H
2024,Middle Tennessee,Kennesaw State,14,5,H
2024,New Mexico State,Louisiana Tech,33,30,H
2024,Sam Houston State,Western Kentucky,14,31,A
2024,UTEP,FIU,30,21,H
2024,Marshall,Georgia State,35,20,H
2024,Virginia Tech,Boston College,42,21,H
2024,Duke,Florida State,23,16,H
2024,Purdue,Oregon,0,35,A
2024,BYU,Oklahoma State,38,35,H
2024,Nevada,Fresno State,21,24,A
2024,Army,East Carolina,45,28,H
2024,Northwestern,Wisconsin,3,23,A
2024,Missouri,Auburn,21,17,H
2024,Rutgers,UCLA,32,35,A
2024,Connecticut,Wake Forest,20,23,A
2024,Cincinnati,Arizona State,24,14,H
2024,Coastal Carolina,UL-Lafayette,24,34,A
2024,Clemson,Virginia,48,31,H
2024,Indiana,Nebraska,56,7,H
2024,Louisville,Miami (FL),45,52,A
2024,Oklahoma,South Carolina,9,35,A
2024,Eastern Michigan,Central Michigan,38,34,H
2024,Temple,Tulsa,20,10,H
2024,California,NC State,23,24,A
2024,Miami (OH),Ohio,30,20,H
2024,Bowling Green,Kent State,27,6,H
2024,UTSA,Florida Atlantic,38,24,H
2024,USF,UAB,35,25,H
2024,Northern Illinois,Toledo,6,13,A
2024,Buffalo,Western Michigan,41,48,A
2024,Kansas,Houston,42,14,H
2024,Washington State,Hawaii,42,10,H
2024,Tennessee,Alabama,24,17,H
2024,Old Dominion,Texas State,24,14,H
2024,Tulane,Rice,24,10,H
2024,Illinois,Michigan,21,7,H
2024,Navy,Charlotte,51,17,H
2024,Georgia Tech,Notre Dame,13,31,A
2024,Maryland,USC,29,28,H
2024,Arizona,Colorado,7,34,A
2024,Georgia Southern,James Madison,28,14,H
2024,San Jose State,Wyoming,24,14,H
2024,Utah State,New Mexico,45,50,A
